Apartment Name,Address,Rent,Features,Appliances,school_name_1,Grades_1,Rank_1,school_name_2,Grades_2,Rank_2,school_name_3,Grades_3,Rank_3,ZIP Code,City,BORO,Average Rent,If_Pets_Allowed
"52 W 56th St APT 4F, New York, NY 10019","52 W 56th St APT 4F, New York, NY 10019","$3,100/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10019,New York,MANHATTAN,3100.0,Allowed
"340 E 81st St APT 2D, New York, NY 10028","340 E 81st St APT 2D, New York, NY 10028","$3,250/mo","ApartmentAvailable Fri Nov 15 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10028,New York,MANHATTAN,3250.0,Allowed
"239 W 20th St APT 3, New York, NY 10011","239 W 20th St APT 3, New York, NY 10011","$2,899/mo","ApartmentAvailable Tue Nov 5 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10011,New York,MANHATTAN,2899.0,Allowed
"225 Maujer St APT 2B, Brooklyn, NY 11206","225 Maujer St APT 2B, Brooklyn, NY 11206","$3,942/mo",ApartmentAvailable --- ---- One-time feesDogs OK-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11206,Brooklyn,BROOKLYN,3942.0,Allowed
The Churchill,"300 E 40th St, New York, NY 10016",,,Dishwasher,,,,,,,,,,10016,New York,MANHATTAN,,N/A
"510 E 13th St APT 5A, New York, NY 10009","510 E 13th St APT 5A, New York, NY 10009","$2,711/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,10009,New York,MANHATTAN,2711.0,N/A
"1928 Linden St #1A, Ridgewood, NY 11385","1928 Linden St #1A, Ridgewood, NY 11385","$2,500/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11385,Ridgewood,QUEENS,2500.0,Allowed
"1711 Linden St #1AA, Ridgewood, NY 11385","1711 Linden St #1AA, Ridgewood, NY 11385","$2,950/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11385,Ridgewood,QUEENS,2950.0,Allowed
"417 Gates Ave APT 3, Brooklyn, NY 11216","417 Gates Ave APT 3, Brooklyn, NY 11216","$2,400/mo","ApartmentAvailable Mon Oct 14 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11216,Brooklyn,BROOKLYN,2400.0,Allowed
"309 W 121st St #3D, New York, NY 10027","309 W 121st St #3D, New York, NY 10027","$3,449/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry-- Parking-- Heating",,,,,,,,,,,10027,New York,MANHATTAN,3449.0,Allowed
"138-28 Queens Blvd #5G, Jamaica, NY 11435","138-28 Queens Blvd #5G, Jamaica, NY 11435","$2,850/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CShared laundryGarage parking-- Heating",,,,,,,,,,,11435,Jamaica,QUEENS,2850.0,Allowed
"27-04 Hoyt Ave S #5, Astoria, NY 11102","27-04 Hoyt Ave S #5, Astoria, NY 11102","$3,000/mo",ApartmentAvailable Fri Nov 1 2024-- One-time feesNo petsCentral airShared laundry-- Parking-- Heating,,,,,,,,,,,11102,Astoria,QUEENS,3000.0,Not Allowed
"4005 Crescent St #2G, Long Island City, NY 11101","4005 Crescent St #2G, Long Island City, NY 11101","$3,200/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundryGarage parking-- Heating,,,,,,,,,,,11101,Long Island City,QUEENS,3200.0,N/A
"691 Chauncey St APT 1B, Brooklyn, NY 11207","691 Chauncey St APT 1B, Brooklyn, NY 11207","$3,300/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",,,,,,,,,,,11207,Brooklyn,BROOKLYN,3300.0,Allowed
"181 7th Ave APT 2, Brooklyn, NY 11215","181 7th Ave APT 2, Brooklyn, NY 11215","$2,900/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11215,Brooklyn,BROOKLYN,2900.0,N/A
"306 W 48th St APT 32B, New York, NY 10036","306 W 48th St APT 32B, New York, NY 10036","$5,000/mo",ApartmentAvailable --- ---- One-time fees-- PetsCentral airIn unit laundry + 1-- Parking-- Heating,,,,,,,,,,,10036,New York,MANHATTAN,5000.0,N/A
"399 E 8th St #5E, New York, NY 10009","399 E 8th St #5E, New York, NY 10009","$3,550/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,10009,New York,MANHATTAN,3550.0,Allowed
"140 E 31st St APT 70, New York, NY 10016","140 E 31st St APT 70, New York, NY 10016","$3,795/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CIn unit laundry + 1-- Parking-- Heating,,,,,,,,,,,10016,New York,MANHATTAN,3795.0,N/A
"485 Cpw #4C, New York, NY 10025","485 Cpw #4C, New York, NY 10025","$3,000/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,10025,New York,MANHATTAN,3000.0,Allowed
"178-60 Wexford Ter #5H, Jamaica, NY 11432","178-60 Wexford Ter #5H, Jamaica, NY 11432","$1,995/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,11432,Jamaica,QUEENS,1995.0,N/A
"1533 E 19th St #1A, Brooklyn, NY 11230","1533 E 19th St #1A, Brooklyn, NY 11230","$2,625/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11230,Brooklyn,BROOKLYN,2625.0,Allowed
