ADDRESS,APARTMENT NAME,RENT,FEATURES,APPLIANCES,SCHOOL_NAME_1,GRADES_1,RANK_1,SCHOOL_NAME_2,GRADES_2,RANK_2,SCHOOL_NAME_3,GRADES_3,RANK_3,ZIP CODE,CITY,BORO,AVERAGE RENT,IF_PETS_ALLOWED,FACTYPE,BUS STATION,COMMERCIAL GARAGE AND PARKING LOT,MUSEUM,PUBLIC LIBRARY,Safety_level
"315 W 33rd St, New York, NY 10001",The Olivia,"$3,831-$4,336/mo",Apartment buildingStudio-2 beds,,Ps 33 Chelsea Prep,PK-5,5.0,Middle 297,6-8,4.0,Satellite Academy High School,9-12,2.0,10001,New York,MANHATTAN,4083.5,,MUSEUM,0,123,63,43,Very Safe
"315 W 57th St, New York, NY 10019",Park Towers South,,,,,,,,,,,,,10019,New York,MANHATTAN,,Not Allowed,MUSEUM,0,123,63,43,Very Safe
"3203 Nostrand Ave APT 2A, Brooklyn, NY 11229","3203 Nostrand Ave APT 2A, Brooklyn, NY 11229","$2,199/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,11229,Brooklyn,BROOKLYN,2199.0,,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"321 E 115th St #4A, New York, NY 10029","321 E 115th St #4A, New York, NY 10029","$2,350/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry-- Parking-- Heating",,,,,,,,,,,10029,New York,MANHATTAN,2350.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"33-03 Parsons Blvd #2, Flushing, NY 11354","33-03 Parsons Blvd #2, Flushing, NY 11354","$2,300/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11354,Flushing,QUEENS,2300.0,,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"333 E 43rd St #615, New York, NY 10017","333 E 43rd St #615, New York, NY 10017","$3,750/mo","ApartmentAvailable Sun Dec 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,10017,New York,MANHATTAN,3750.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"340 E 81st St APT 2D, New York, NY 10028","340 E 81st St APT 2D, New York, NY 10028","$3,250/mo","ApartmentAvailable Fri Nov 15 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10028,New York,MANHATTAN,3250.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"363 Bond St, Brooklyn, NY 11231",363 Bond Street,"$3,595/mo",Apartment buildingStudio-1 bedPet-friendlyUnderground garageAir conditioning availableIn-unit dryer + 1,"Dishwasher, Dryer, Freezer, Microwave oven, Oven, Range, Refrigerator, Washer",Ps 32 Samuels Mills Sprole,PK-5,6.0,Ms 51 William Alexander,6-8,6.0,Cobble Hill School of American Studies,9-12,2.0,11231,Brooklyn,BROOKLYN,3595.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"363 Ocean Pkwy APT C12, Brooklyn, NY 11218","363 Ocean Pkwy APT C12, Brooklyn, NY 11218","$1,875/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,11218,Brooklyn,BROOKLYN,1875.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"367 S 5th St #1D, Brooklyn, NY 11211","367 S 5th St #1D, Brooklyn, NY 11211","$2,499/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11211,Brooklyn,BROOKLYN,2499.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"399 E 8th St #5E, New York, NY 10009","399 E 8th St #5E, New York, NY 10009","$3,550/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,10009,New York,MANHATTAN,3550.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"40-22 College Point Blvd #10C, Flushing, NY 11354","40-22 College Point Blvd #10C, Flushing, NY 11354","$3,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Valet parking-- Heating",,,,,,,,,,,11354,Flushing,QUEENS,3000.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"400 W 37th St, Manhattan, NY 10018",Hudson Crossing,,Apartment buildingStudio-2 bedsPet-friendlyAir conditioning availableShared laundry,"Dishwasher, Microwave oven, Refrigerator",P.S. 51 Elias Howe,PK-5,7.0,Middle 297,6-8,4.0,Professional Performing Arts High School,6-12,7.0,10018,Manhattan,MANHATTAN,,Allowed,MUSEUM,0,123,63,43,Very Safe
