Apartment Name,Address,Rent,Features,Appliances,Dogs Policy,Cats Policy,Large Dogs Policy,Small Dogs Policy,Pets Allowed,school_name_1,Grades_1,Rank_1,school_name_2,Grades_2,Rank_2,school_name_3,Grades_3,Rank_3
"421 E 73rd St APT 2A, New York, NY 10021","421 E 73rd St APT 2A, New York, NY 10021","$3,000/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"52 W 56th St APT 4F, New York, NY 10019","52 W 56th St APT 4F, New York, NY 10019","$3,100/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"340 E 81st St APT 2D, New York, NY 10028","340 E 81st St APT 2D, New York, NY 10028","$3,250/mo","ApartmentAvailable Fri Nov 15 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"239 W 20th St APT 3, New York, NY 10011","239 W 20th St APT 3, New York, NY 10011","$2,899/mo","ApartmentAvailable Tue Nov 5 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
160 Madison Ave,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
125 W 31st St New York NY,N/A,N/A,Apartment building1-3 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"225 Maujer St APT 2B, Brooklyn, NY 11206","225 Maujer St APT 2B, Brooklyn, NY 11206","$3,942/mo",ApartmentAvailable --- ---- One-time feesDogs OK-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
The Churchill,"300 E 40th St, New York, NY 10016",N/A,N/A,Dishwasher,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"510 E 13th St APT 5A, New York, NY 10009","510 E 13th St APT 5A, New York, NY 10009","$2,711/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"1928 Linden St #1A, Ridgewood, NY 11385","1928 Linden St #1A, Ridgewood, NY 11385","$2,500/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"1711 Linden St #1AA, Ridgewood, NY 11385","1711 Linden St #1AA, Ridgewood, NY 11385","$2,950/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"417 Gates Ave APT 3, Brooklyn, NY 11216","417 Gates Ave APT 3, Brooklyn, NY 11216","$2,400/mo","ApartmentAvailable Mon Oct 14 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"309 W 121st St #3D, New York, NY 10027","309 W 121st St #3D, New York, NY 10027","$3,449/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"138-28 Queens Blvd #5G, Jamaica, NY 11435","138-28 Queens Blvd #5G, Jamaica, NY 11435","$2,850/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CShared laundryGarage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
42-20 27th St,N/A,N/A,N/A,Dishwasher,N/A,N/A,N/A,N/A,N/A,Is 204 Oliver W Holmes,6-8,5,P.S. 78,PK-8,8,Long Island City High School,9-12,3
"27-04 Hoyt Ave S #5, Astoria, NY 11102","27-04 Hoyt Ave S #5, Astoria, NY 11102","$3,000/mo",ApartmentAvailable Fri Nov 1 2024-- One-time feesNo petsCentral airShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,,
1875 Atlantic Ave,N/A,N/A,N/A,Dishwasher,N/A,N/A,N/A,N/A,N/A,Ps 28 The Warren Prep Academy,PK-5,NA,Brooklyn Green School (The),6-8,6,Boys and Girls High School,9-12,3
"4005 Crescent St #2G, Long Island City, NY 11101","4005 Crescent St #2G, Long Island City, NY 11101","$3,200/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundryGarage parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"691 Chauncey St APT 1B, Brooklyn, NY 11207","691 Chauncey St APT 1B, Brooklyn, NY 11207","$3,300/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"181 7th Ave APT 2, Brooklyn, NY 11215","181 7th Ave APT 2, Brooklyn, NY 11215","$2,900/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"306 W 48th St APT 32B, New York, NY 10036","306 W 48th St APT 32B, New York, NY 10036","$5,000/mo",ApartmentAvailable --- ---- One-time fees-- PetsCentral airIn unit laundry + 1-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"399 E 8th St #5E, New York, NY 10009","399 E 8th St #5E, New York, NY 10009","$3,550/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry + 1-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"140 E 31st St APT 70, New York, NY 10016","140 E 31st St APT 70, New York, NY 10016","$3,795/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CIn unit laundry + 1-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
33 Caton Pl,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
200 Water St,N/A,N/A,Apartment building1 bed,Dishwasher,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"485 Cpw #4C, New York, NY 10025","485 Cpw #4C, New York, NY 10025","$3,000/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"178-60 Wexford Ter #5H, Jamaica, NY 11432","178-60 Wexford Ter #5H, Jamaica, NY 11432","$1,995/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"1533 E 19th St #1A, Brooklyn, NY 11230","1533 E 19th St #1A, Brooklyn, NY 11230","$2,625/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"4311 Ditmars Blvd #2F, Astoria, NY 11105","4311 Ditmars Blvd #2F, Astoria, NY 11105","$2,200/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"363 Ocean Pkwy APT C12, Brooklyn, NY 11218","363 Ocean Pkwy APT C12, Brooklyn, NY 11218","$1,875/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"213 N 5th St APT 2L, Brooklyn, NY 11211","213 N 5th St APT 2L, Brooklyn, NY 11211","$3,190/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"492 Lefferts Ave APT 7F, Brooklyn, NY 11225","492 Lefferts Ave APT 7F, Brooklyn, NY 11225","$2,400/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airShared laundryGarage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
72-01 Queens Blvd,N/A,N/A,Apartment buildingStudio-3 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 12 James B Colgate,K-5,6,Is 125 Thomas J Mccann Woodside,6-8,7,Newtown High School,9-12,3
"235 W 56th St APT 39K, New York, NY 10019","235 W 56th St APT 39K, New York, NY 10019","$5,115/mo","ApartmentAvailable Mon Oct 21 2024-- One-time feesCats, dogs OK-- A/CShared laundryGarage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"152-11 89th Ave #242, Jamaica, NY 11432","152-11 89th Ave #242, Jamaica, NY 11432","$2,550/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Garage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"18 6th Ave #3114, Brooklyn, NY 11217","18 6th Ave #3114, Brooklyn, NY 11217","$4,300/mo","ApartmentAvailable Sat Oct 12 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
123 Melrose St,N/A,N/A,Apartment buildingStudio-3 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 145 Andrew Jackson,PK-5,5,Is 349 Math Science And Technology,6-8,5,EBC High School for Public Service-Bushwick,9-12,2
42-10 27th St,N/A,N/A,Apartment buildingStudio-3 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
150 W 51st St,N/A,N/A,N/A,Dishwasher,N/A,N/A,N/A,N/A,N/A,Ps 111 Adolph S Ochs,PK-5,4,Middle 297,6-8,4,Jacqueline Kennedy-Onassis High School,9-12,4
"33-03 Parsons Blvd #2, Flushing, NY 11354","33-03 Parsons Blvd #2, Flushing, NY 11354","$2,300/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"536 W 143rd St #29, New York, NY 10031","536 W 143rd St #29, New York, NY 10031","$2,185/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"15 Stanton St #4AC, New York, NY 10002","15 Stanton St #4AC, New York, NY 10002","$3,499/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"2610 University Ave #S2, Bronx, NY 10468","2610 University Ave #S2, Bronx, NY 10468","$1,800/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"1609 Ocean Ave APT 1B, Brooklyn, NY 11230","1609 Ocean Ave APT 1B, Brooklyn, NY 11230","$1,685/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"1050 Bedford Ave #3A, Brooklyn, NY 11205","1050 Bedford Ave #3A, Brooklyn, NY 11205","$3,135/mo",ApartmentAvailable Fri Nov 1 2024-- One-time feesDogs OKCentral airIn unit laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"171 Metropolitan Ave #1F, Brooklyn, NY 11249","171 Metropolitan Ave #1F, Brooklyn, NY 11249","$3,450/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
2395 Palisade Ave,N/A,N/A,Apartment buildingStudio-19 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"414 Bainbridge St #1, Brooklyn, NY 11233","414 Bainbridge St #1, Brooklyn, NY 11233","$2,800/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CIn unit laundry + 1-- ParkingFireplace,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"215 E 89th St APT B, New York, NY 10128","215 E 89th St APT B, New York, NY 10128","$2,395/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"1368 York Ave #A3, New York, NY 10021","1368 York Ave #A3, New York, NY 10021","$2,750/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"250 E 63rd St #8E, New York, NY 10065","250 E 63rd St #8E, New York, NY 10065","$4,500/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"301 W 45th St APT 4K, New York, NY 10036","301 W 45th St APT 4K, New York, NY 10036","$3,995/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"234 E 106th St #4A1, New York, NY 10029","234 E 106th St #4A1, New York, NY 10029","$2,300/mo","ApartmentAvailable Thu Oct 10 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"2119 21st St #2F, Astoria, NY 11105","2119 21st St #2F, Astoria, NY 11105","$2,100/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"2117 22nd Rd APT 1, Astoria, NY 11105","2117 22nd Rd APT 1, Astoria, NY 11105","$2,400/mo",ApartmentAvailable Tue Oct 15 2024-- One-time fees-- Pets-- A/CIn unit laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"819 Lexington Ave #4A, Brooklyn, NY 11221","819 Lexington Ave #4A, Brooklyn, NY 11221","$2,975/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"41-41 43rd St #E7, Sunnyside, NY 11104","41-41 43rd St #E7, Sunnyside, NY 11104","$2,900/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
229 W 60th St,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"85-21 Lefferts Blvd #C6, Kew Gardens, NY 11415","85-21 Lefferts Blvd #C6, Kew Gardens, NY 11415","$2,000/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
11 Cooper St,N/A,N/A,Apartment building1 bed,Dishwasher,N/A,N/A,N/A,N/A,N/A,Ps 98 Shorac Kappock,PK-5,5,Harold O Levy School,6-8,3,High School For Excellence And Innovation,9-12,2
3 Court Sq,N/A,N/A,Apartment buildingStudio-4 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"74 Palmetto St #2F, Brooklyn, NY 11221","74 Palmetto St #2F, Brooklyn, NY 11221","$2,850/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"15 Cooper St #1B, Brooklyn, NY 11207","15 Cooper St #1B, Brooklyn, NY 11207","$2,500/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airIn unit laundry + 1-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
